"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
,,188.5,4.22614565892
,,189,4.22614565892
,,189.5,4.22433365966
,,190,4.22614565892
,,190.5,4.27142345843
,,191,4.39797550061
,,191.5,4.5727959659
,,192,4.78104132335
,,192.5,4.98305851393
,,193,5.20202543569
,,193.5,5.3935057546
,,194,5.61775261103
,,194.5,5.87259064076
,,195,6.10873512336
,,195.5,6.35077359686
,,196,6.62456746113
,,196.5,6.84708217644
,,197,7.08412224642
,,197.5,7.32697744898
,,198,7.51438331573
,,198.5,7.66895133827
,,199,7.84847191698
,,199.5,8.04091979019
,,200,8.23945350181
,,200.5,8.4440168465
,,201,8.60449267816
,,201.5,8.68957160482
,,202,8.60115380326
,,202.5,8.42727583445
,,203,8.26800063009
,,203.5,8.14363554892
,,204,8.06282517627
,,204.5,8.01394801096
,,205,7.9937109737
,,205.5,8.00551676748
,,206,8.01900617096
,,206.5,8.0560859334
,,207,8.0611404385
,,207.5,8.07124813596
,,208,8.01394801096
,,208.5,7.93295753781
,,209,7.87890096855
,,209.5,7.85523531497
,,210,7.82817696187
,,210.5,7.8095669706
,,211,7.7943361371
,,211.5,7.78587281964
,,212,7.78079423095
,,212.5,7.77402208102
,,213,7.76047538499
,,213.5,7.73845518115
,,214,7.70625658012
,,214.5,7.67064755952
,,215,7.62313429337
,,215.5,7.56878483657
,,216,7.51948567691
,,216.5,7.45992947493
,,217,7.39519722927
,,217.5,7.33550945779
,,218,7.27404996068
,,218.5,7.19028795598
,,219,7.13209321359
,,219.5,7.072123006
,,220,6.99663944581
,,220.5,6.95026872967
,,221,6.9072979494
,,221.5,6.85740958977
,,222,6.82814351215
,,222.5,6.78335324055
,,223,6.74370034061
,,223.5,6.7212750276
,,224,6.69538814526
,,224.5,6.67812335248
,,225,6.66258033087
,,225.5,6.64357723791
,,226,6.61938181506
,,226.5,6.59344610688
,,227,6.5640372107
,,227.5,6.54499936044
,,228,6.51729590217
,,228.5,6.49997398086
,,229,6.47571388971
,,229.5,6.47571388971
,,230,6.47398060582
,,230.5,6.47398060582
,,231,6.47398060582
,,231.5,6.49304364625
,,232,6.51036780448
,,232.5,6.53288085486
,,233,6.55711513549
,,233.5,6.58652781077
,,234,6.6211104191
,,234.5,6.65221583533
,,235,6.6867564367
,,235.5,6.72990124412
,,236,6.76956420598
,,236.5,6.82125509562
,,237,6.8625725647
,,237.5,6.91417553694
,,238,6.97088276442
,,238.5,7.0258157942
,,239,7.08412224642
,,239.5,7.14750364007
,,240,7.20055129486
,,240.5,7.26380014276
,,241,7.32697744898
,,241.5,7.37985500122
,,242,7.4377925983
,,242.5,7.51268242649
,,243,7.58917197042
,,243.5,7.67403985088
,,244,7.77740825578
,,244.5,7.88059100134
,,245,7.9937109737
,,245.5,8.17222918107
,,246,8.34517675609
,,246.5,8.53266598352
,,247,8.72790140377
,,247.5,8.90424029255
,,248,9.08504250786
,,248.5,9.29338838219
,,249,9.48623485183
,,249.5,9.67357489767
,,250,9.86200649079
,,250.5,10.0188885174
,,251,10.1721398781
,,251.5,10.3559004366
,,252,10.514861488
,,252.5,10.6556683956
,,253,10.7752076257
,,253.5,10.8897063828
,,254,10.9927552365
,,254.5,11.0763709142
,,255,11.1647027404
,,255.5,11.2384958147
,,256,11.3378353606
,,256.5,11.4674109598
,,257,11.5792033355
,,257.5,11.6956047441
,,258,11.8150038454
,,258.5,11.9040300419
,,259,12.0072312484
,,259.5,12.0881055398
,,260,12.1752262706
,,260.5,12.2495960711
,,261,12.3302137061
,,261.5,12.4202162013
,,262,12.5211475311
,,262.5,12.6062071795
,,263,12.7037551786
,,263.5,12.7917601118
,,264,12.8843749079
,,264.5,12.9596439916
,,265,13.0426724482
,,265.5,13.1350010385
,,266,13.2381610759
,,266.5,13.3318315405
,,267,13.4425393606
,,267.5,13.5748859149
,,268,13.7101338683
,,268.5,13.8513732901
,,269,14.0047700083
,,269.5,14.198073443
,,270,14.3863373176
,,270.5,14.5726755947
,,271,14.7540346248
,,271.5,14.8844588699
,,272,15.0070487708
,,272.5,15.1218358446
,,273,15.1967572752
,,273.5,15.2792578174
,,274,15.3510080749
,,274.5,15.4227068857
,,275,15.4852109822
,,275.5,15.5522456924
,,276,15.6192363786
,,276.5,15.6785779657
,,277,15.7652467655
,,277.5,15.8609548474
,,278,15.9656782543
,,278.5,16.0884831327
,,279,16.2066075572
,,279.5,16.3079713701
,,280,16.4016878081
,,280.5,16.501363973
,,281,16.6009520432
,,281.5,16.7004531378
,,282,16.7938456278
,,282.5,16.8826496044
,,283,16.9698831197
,,283.5,17.0540478435
,,284,17.150163893
,,284.5,17.2402035811
,,285,17.3451664597
,,285.5,17.4305707105
,,286,17.5159168862
,,286.5,17.5937264774
,,287,17.6774685982
,,287.5,17.7566746446
,,288,17.8328464948
,,288.5,17.9268805342
,,289,18.0104108008
,,289.5,18.0938894468
,,290,18.1877420035
,,290.5,18.2755779385
,,291,18.3588966675
,,291.5,18.4436529032
,,292,18.5239020362
,,292.5,18.6115308653
,,293,18.6902036494
,,293.5,18.7718011234
,,294,18.8607659973
,,294.5,18.9319004017
,,295,19.019291383
,,295.5,19.1036733847
,,296,19.188010254
,,296.5,19.2782162182
,,297,19.3698495291
,,297.5,19.4510943802
,,298,19.5411559864
,,298.5,19.6355952848
,,299,19.7373544861
,,299.5,19.8434748012
,,300,19.9406960923
,,300.5,20.0393369718
,,301,20.151164153
,,301.5,20.2364610527
,,302,20.3364157541
,,302.5,20.4392565686
,,303,20.5391079138
,,303.5,20.6242361596
,,304,20.7313302066
,,304.5,20.8178456319
,,305,20.9131186382
,,305.5,21.0054203423
,,306,21.090362539
,,306.5,21.1811275108
,,307,21.2645411624
,,307.5,21.3493877853
,,308,21.4298179859
,,308.5,21.5233761159
,,309,21.6008273157
,,309.5,21.6782548821
,,310,21.7585797445
,,310.5,21.8490984817
,,311,21.9308312416
,,311.5,22.0227516738
,,312,22.1088087669
,,312.5,22.1977561446
,,313,22.2823043104
,,313.5,22.3639146895
,,314,22.4513306397
,,314.5,22.5241589594
,,315,22.6071634518
,,315.5,22.6872360117
,,316,22.7876643689
,,316.5,22.8778801145
,,317,22.9724373118
,,317.5,23.0596999214
,,318,23.1542124692
,,318.5,23.2428887999
,,319,23.3329996377
,,319.5,23.4390740073
,,320,23.5393133177
,,320.5,23.6308176715
,,321,23.7324693805
,,321.5,23.8108727805
,,322,23.8805551296
,,322.5,23.9545831362
,,323,24.0271504838
,,323.5,24.0997091543
,,324,24.1795140985
,,324.5,24.2404495746
,,325,24.3100835452
,,325.5,24.3840622958
,,326,24.4522324128
,,326.5,24.5290981388
,,327,24.6016065794
,,327.5,24.6813591256
,,328,24.7408067032
,,328.5,24.8132990691
,,329,24.8886860325
,,329.5,24.9510216062
,,330,25.0119045598
,,330.5,25.0930776521
,,331,25.1539546081
,,331.5,25.2220761963
,,332,25.2916446123
,,332.5,25.3626600151
,,333,25.4365718324
,,333.5,25.5046849988
,,334,25.5945345012
,,334.5,25.6771366866
,,335,25.7727803608
,,335.5,25.8655254823
,,336,25.9379829088
,,336.5,26.0321785801
,,337,26.1060872147
,,337.5,26.1814465987
,,338,26.2655036323
,,338.5,26.3350703101
,,339,26.4075381078
,,339.5,26.4843571498
,,340,26.5466847144
