"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
,,219.5,17.9119589349
,,220,17.8940508112
,,220.5,17.8865883819
,,221,17.8716622659
,,221.5,17.8627057903
,,222,17.8477769852
,,222.5,17.8373258191
,,223,17.8253806164
,,223.5,17.8179143154
,,224,17.7999934656
,,224.5,17.7865512249
,,225,17.7775889662
,,225.5,17.7596626095
,,226,17.7521925692
,,226.5,17.7387454199
,,227,17.7252968841
,,227.5,17.7133414638
,,228,17.7028795691
,,228.5,17.6894273227
,,229,17.6759736799
,,229.5,17.6670038077
,,230,17.6580333129
,,230.5,17.6445764017
,,231,17.6326135232
,,231.5,17.6206495325
,,232,17.6131714727
,,232.5,17.5937264774
,,233,17.5817588593
,,233.5,17.5712862746
,,234,17.560812831
,,234.5,17.55482762
,,235,17.5398633622
,,235.5,17.5293873344
,,236,17.5174136733
,,236.5,17.4994510618
,,237,17.4934629584
,,237.5,17.4814859008
,,238,17.4665129812
,,238.5,17.4590258547
,,239,17.4515382831
,,239.5,17.4380595309
,,240,17.4305707105
,,240.5,17.4155917286
,,241,17.4021091136
,,241.5,17.3901233467
,,242,17.3841300319
,,242.5,17.3706440211
,,243,17.3631511622
,,243.5,17.3481640908
,,244,17.3331752115
,,244.5,17.3181845207
,,245,17.3076899572
,,245.5,17.2971945029
,,246,17.2941956379
,,246.5,17.282199449
,,247,17.2672025708
,,247.5,17.2522038647
,,248,17.2462038695
,,248.5,17.2402035811
,,249,17.2192002581
,,249.5,17.2071967408
,,250,17.2041956772
,,250.5,17.1876885086
,,251,17.1756818909
,,251.5,17.1681771535
,,252,17.15616861
,,252.5,17.1486626673
,,253,17.1306465092
,,253.5,17.1231389857
,,254,17.10812254
,,254.5,17.1006136171
,,255,17.0901003395
,,255.5,17.0795861445
,,256,17.0720754428
,,256.5,17.060057344
,,257,17.0465355446
,,257.5,17.0420279393
,,258,17.030006829
,,258.5,17.016481636
,,259,17.00746399
,,259.5,16.9984456624
,,260,16.9864201641
,,260.5,16.9789036108
,,261,16.9713865824
,,261.5,16.9563510985
,,262,16.9473288935
,,262.5,16.9322903582
,,263,16.9232663194
,,263.5,16.912737403
,,264,16.90371187
,,264.5,16.894685646
,,265,16.8826496044
,,265.5,16.8811450126
,,266,16.86760282
,,266.5,16.8570689236
,,267,16.846534081
,,267.5,16.8329878908
,,268,16.8224508803
,,268.5,16.8149238624
,,269,16.8013740063
,,269.5,16.7923398937
,,270,16.7848109309
,,270.5,16.7682454966
,,271,16.759208809
,,271.5,16.7471587967
,,272,16.7381204647
,,272.5,16.7275748515
,,273,16.7230550085
,,273.5,16.7019600671
,,274,16.6883969942
,,274.5,16.6763395871
,,275,16.6627734914
,,275.5,16.6582511031
,,276,16.6461905286
,,276.5,16.6311130237
,,277,16.6235735256
,,277.5,16.6145254709
,,278,16.6024602817
,,278.5,16.5919021931
,,279,16.5783260683
,,279.5,16.5738003331
,,280,16.558713246
,,280.5,16.5526778493
,,281,16.5451331513
,,281.5,16.53607885
,,282,16.5270238239
,,282.5,16.5164587095
,,283,16.5074021101
,,283.5,16.5028735376
,,284,16.4953255124
,,284.5,16.4832476193
,,285,16.4787180751
,,285.5,16.4696584389
,,286,16.4545574203
,,286.5,16.4454958329
,,287,16.4394543673
,,287.5,16.4303915573
,,288,16.4243492758
,,288.5,16.4152852409
,,289,16.4031987158
,,289.5,16.3971549619
,,290,16.3895998084
,,290.5,16.3790217318
