"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
,,277,16.6296051638
,,277.5,16.625081465
,,278,16.6175415688
,,278.5,16.6145254709
,,279,16.6054766987
,,279.5,16.5949188897
,,280,16.5843601016
,,280.5,16.5768175099
,,281,16.5722917146
,,281.5,16.5647483215
,,282,16.5556955878
,,282.5,16.5481510908
,,283,16.5406060912
,,283.5,16.53607885
,,284,16.5270238239
,,284.5,16.5224960388
,,285,16.5194774145
,,285.5,16.5104210574
,,286,16.501363973
,,286.5,16.4968351579
,,287,16.4923061606
,,287.5,16.4817377915
,,288,16.4787180751
,,288.5,16.471168429
,,289,16.4605980717
,,289.5,16.4560676137
,,290,16.443985497
,,290.5,16.4379439499
,,291,16.4319020766
,,291.5,16.4243492758
,,292,16.4167959645
,,292.5,16.4122637324
,,293,16.4031987158
,,293.5,16.4001768798
,,294,16.3926219313
,,294.5,16.3850664702
,,295,16.3805329472
,,295.5,16.3684426487
,,296,16.3669312689
,,296.5,16.3548394893
,,297,16.3518163385
,,297.5,16.3442581006
,,298,16.3366993469
,,298.5,16.3351875342
,,299,16.3276281609
,,299.5,16.3215802901
,,300,16.3155320883
,,300.5,16.3125078632
,,301,16.3049469378
,,301.5,16.2988978243
,,302,16.2928483788
,,302.5,16.2837735874
,,303,16.2792359112
,,303.5,16.2716727013
,,304,16.2716727013
,,304.5,16.2610833329
,,305,16.2520059184
,,305.5,16.2444408323
,,306,16.2399015299
,,306.5,16.2353620395
,,307,16.2277958036
,,307.5,16.2217424382
,,308,16.2141752598
,,308.5,16.2111482417
,,309,16.2035803293
,,309.5,16.1975256213
,,310,16.1929843697
,,310.5,16.1839012987
,,311,16.177845497
,,311.5,16.1702752708
,,312,16.1642187104
,,312.5,16.1611903035
,,313,16.1521045762
,,313.5,16.1445325556
,,314,16.143018088
,,314.5,16.1293869273
,,315,16.127872248
,,315.5,16.1202985332
,,316,16.1142391795
,,316.5,16.112724288
,,317,16.1066645095
,,317.5,16.100604391
,,318,16.0960590788
,,318.5,16.0839373094
,,319,16.0854526051
,,319.5,16.0733296423
,,320,16.065752097
,,320.5,16.065752097
,,321,16.0566583376
,,321.5,16.0536269134
,,322,16.0384685081
,,322.5,16.0384685081
,,323,16.030888502
,,323.5,16.0278563493
,,324,16.0233079594
,,324.5,16.0187593762
,,325,16.0157268799
,,325.5,16.0096616295
,,326,16.0005631083
,,326.5,15.9990466128
,,327,15.991463812
