"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
,,522,19.3003902929
,,522.5,19.2929992712
,,523,19.2915210265
,,523.5,19.2870862117
,,524,19.2811729366
,,524.5,19.2752594457
,,525,19.2737810393
,,525.5,19.2708241859
,,526,19.2619533014
,,526.5,19.2560391078
,,527,19.2516033205
,,527.5,19.2501246976
,,528,19.2442100705
,,528.5,19.2382952262
,,529,19.2309013653
,,529.5,19.2235071644
,,530,19.2249860318
,,530.5,19.2161126231
,,531,19.2131547111
,,531.5,19.2087177409
,,532,19.2028015895
,,532.5,19.1954060928
,,533,19.1939269524
,,533.5,19.1894894492
,,534,19.1865310452
,,534.5,19.1761761996
,,535,19.1717382028
,,535.5,19.1702588431
,,536,19.1673000824
,,536.5,19.1643412667
,,537,19.1599029401
,,537.5,19.1584234704
,,538,19.1465872167
,,538.5,19.1421483941
,,539,19.1421483941
,,539.5,19.1362297707
,,540,19.1303109262
,,540.5,19.1229120595
,,541,19.1214322446
,,541.5,19.1095932266
,,542,19.108113287
,,542.5,19.1036733847
,,543,19.1007133804
,,543.5,19.0933131264
,,544,19.088872807
,,544.5,19.0859125245
,,545,19.0814719962
,,545.5,19.0785115743
,,546,19.0740708368
,,546.5,19.0711102754
,,547,19.0666693285
,,547.5,19.0607478702
,,548,19.0577870572
,,548.5,19.0533457326
,,549,19.0503847796
,,549.5,19.0429821516
,,550,19.0429821516
,,550.5,19.0340985351
,,551,19.0311372172
,,551.5,19.022252926
,,552,19.019291383
,,552.5,19.0148489629
,,553,19.0104064159
,,553.5,19.0059637419
,,554,19.0030018887
,,554.5,18.998559003
,,555,18.9970780128
,,555.5,18.9926349575
,,556,18.9867106856
,,556.5,18.9852295823
,,557,18.9807861872
,,557.5,18.9778238529
,,558,18.9733802452
,,558.5,18.9704177691
,,559,18.9704177691
,,559.5,18.9630113303
,,560,18.9556045361
,,560.5,18.9541231346
,,561,18.9481973862
,,561.5,18.94078988
,,562,18.94078988
,,562.5,18.930418772
,,563,18.930418772
,,563.5,18.9259737971
,,564,18.9215286936
,,564.5,18.9111562843
,,565,18.9096744542
,,565.5,18.9096744542
,,566,18.9052288779
,,566.5,18.9007831725
,,567,18.8963373379
,,567.5,18.888927326
,,568,18.8859632206
,,568.5,18.8844811463
,,569,18.8815169546
,,569.5,18.8755883981
,,570,18.8681773782
,,570.5,18.8681773782
,,571,18.8652128692
,,571.5,18.8548366326
,,572,18.8503894571
,,572.5,18.8474246011
,,573,18.8444596871
,,573.5,18.8370471487
,,574,18.8370471487
,,574.5,18.8296342475
,,575,18.8251863326
,,575.5,18.8251863326
,,576,18.8148073555
,,576.5,18.8103590041
,,577,18.8118418025
,,577.5,18.8088761912
,,578,18.8029447938
,,578.5,18.797013163
,,579,18.7955302188
,,579.5,18.7925642866
,,580,18.7881152788
,,580.5,18.7821830636
,,581,18.7792168682
,,581.5,18.7747674653
,,582,18.7718011234
